,wins,local,opponent,local_points,opponent_points,duration,date,event,category,round,has_video,url_video
0,1,BUCHARD Amandine,VAN SNICK Charline,10,0,00:00,20 Sep 2018,World Championships Baku 2018,-52 kg,Bronze,True,https://judobase.ijf.org/#/competition/contest/wc_sen2018_w_0052_0066
1,0,BUCHARD Amandine,ABE Uta,0,100,03:34,20 Sep 2018,World Championships Baku 2018,-52 kg,Semi-Final,True,https://judobase.ijf.org/#/competition/contest/wc_sen2018_w_0052_0063
2,1,BUCHARD Amandine,PRIMO Gefen,10,0,00:00,20 Sep 2018,World Championships Baku 2018,-52 kg,Quarter-Final,True,https://judobase.ijf.org/#/competition/contest/wc_sen2018_w_0052_0057
3,1,BUCHARD Amandine,RAMOS Joana,110,0,00:14,20 Sep 2018,World Championships Baku 2018,-52 kg,Round 3,True,https://judobase.ijf.org/#/competition/contest/wc_sen2018_w_0052_0049
4,1,BUCHARD Amandine,WU Shugen,110,0,02:04,20 Sep 2018,World Championships Baku 2018,-52 kg,Round 2,True,https://judobase.ijf.org/#/competition/contest/wc_sen2018_w_0052_0033
5,0,BUCHARD Amandine,SHISHIME Ai,0,10,00:00,27 Jul 2018,Grand Prix Zagreb 2018,-52 kg,Final,True,https://judobase.ijf.org/#/competition/contest/gp_cro2018_w_0052_0035
6,1,BUCHARD Amandine,DELGADO Angelica,100,0,01:51,27 Jul 2018,Grand Prix Zagreb 2018,-52 kg,Semi-Final,True,https://judobase.ijf.org/#/competition/contest/gp_cro2018_w_0052_0031
7,1,BUCHARD Amandine,STANGAR Anja,110,0,00:05,27 Jul 2018,Grand Prix Zagreb 2018,-52 kg,Quarter-Final,True,https://judobase.ijf.org/#/competition/contest/gp_cro2018_w_0052_0025
8,1,BUCHARD Amandine,PRIMO Gefen,10,0,00:00,27 Jul 2018,Grand Prix Zagreb 2018,-52 kg,Round 2,True,https://judobase.ijf.org/#/competition/contest/gp_cro2018_w_0052_0017
9,0,BUCHARD Amandine,CHITU Andreea,0,100,05:00,26 Apr 2018,European Championships Tel Aviv 2018,-52 kg,Round 2,True,https://judobase.ijf.org/#/competition/contest/eju_sen2018_w_0052_0021
10,1,BUCHARD Amandine,TSCHOPP Evelyne,100,0,02:20,30 Mar 2018,Grand Prix Tbilisi 2018,-52 kg,Final,True,https://judobase.ijf.org/#/competition/contest/gp_geo2018_w_0052_0019
11,1,BUCHARD Amandine,AMIRTAYEVA Zhadyra,110,0,00:37,30 Mar 2018,Grand Prix Tbilisi 2018,-52 kg,Semi-Final,True,https://judobase.ijf.org/#/competition/contest/gp_geo2018_w_0052_0015
12,1,BUCHARD Amandine,JANASHVILI Mariam,100,0,03:20,30 Mar 2018,Grand Prix Tbilisi 2018,-52 kg,Quarter-Final,True,https://judobase.ijf.org/#/competition/contest/gp_geo2018_w_0052_0009
13,0,BUCHARD Amandine,ABE Uta,0,100,02:24,10 Feb 2018,Grand Slam Paris 2018,-52 kg,Final,True,https://judobase.ijf.org/#/competition/contest/gs_fra2018_w_0052_0035
14,1,BUCHARD Amandine,TSUNODA Natsumi,100,0,02:32,10 Feb 2018,Grand Slam Paris 2018,-52 kg,Semi-Final,True,https://judobase.ijf.org/#/competition/contest/gs_fra2018_w_0052_0031
15,1,BUCHARD Amandine,DELGADO Angelica,100,0,02:34,10 Feb 2018,Grand Slam Paris 2018,-52 kg,Quarter-Final,True,https://judobase.ijf.org/#/competition/contest/gs_fra2018_w_0052_0025
16,1,BUCHARD Amandine,TSCHOPP Evelyne,110,0,03:15,10 Feb 2018,Grand Slam Paris 2018,-52 kg,Round 2,True,https://judobase.ijf.org/#/competition/contest/gs_fra2018_w_0052_0017
17,0,BUCHARD Amandine,KUZIUTINA Natalia,0,10,03:03,16 Dec 2017,Masters St Petersburg 2017,-52 kg,Final,True,https://judobase.ijf.org/#/competition/contest/mas_rus2017_w_0052_0019
18,1,BUCHARD Amandine,MIRANDA Erika,100,0,01:09,16 Dec 2017,Masters St Petersburg 2017,-52 kg,Semi-Final,True,https://judobase.ijf.org/#/competition/contest/mas_rus2017_w_0052_0015
19,1,BUCHARD Amandine,FLORIAN Alexandra-larisa,110,0,02:31,16 Dec 2017,Masters St Petersburg 2017,-52 kg,Quarter-Final,True,https://judobase.ijf.org/#/competition/contest/mas_rus2017_w_0052_0010
